ticker,index,name
APD,SP500,
APEI,RUSSELL2000,American Public Education
APH,SP500,
APIC,RUSSELL2000,Apigee Corp
APOG,RUSSELL2000,Apogee Enterprises
APOL,BOTH,Apollo Group
APPS,RUSSELL2000,Digital Turbine Inc
APTS,RUSSELL2000,Preferred Apartment Communities
ARAY,RUSSELL2000,Accuray Incorporated
ARC,RUSSELL2000,American Reprographics Company
ARCB,RUSSELL2000,Arcbest Corp
ARDX,RUSSELL2000,Ardelyx Inc
AREX,RUSSELL2000,Approach Resources Inc
ARG,SP500,
ARI,RUSSELL2000,Apollo Commercial Real Estate
ARIA,RUSSELL2000,Ariad Pharmaceuticals
ARII,RUSSELL2000,American Railcar Industries
ARNA,RUSSELL2000,Arena Pharmaceuticals
AROW,RUSSELL2000,Arrow Financial Corp
ARPI,RUSSELL2000,American Residential Properties
ARR,RUSSELL2000,Armour Residential R
ARRY,RUSSELL2000,Array Biopharma Inc
ARTNA,RUSSELL2000,Artesian Resources Corp
ARWR,RUSSELL2000,Arrowhead Research Corp
ASC,RUSSELL2000,Ardmore Shipping Corp
ASCMA,RUSSELL2000,Ascent Media Corp
ASEI,RUSSELL2000,American Science and Engineering
ASGN,RUSSELL2000,On Assignment
ASMB,RUSSELL2000,Assembly Biosciences Inc
ASNA,RUSSELL2000,Ascena Retail Group
ASPS,RUSSELL2000,Altisource Portfolio Solutions S.A.
AST,RUSSELL2000,Asterias Biotherapeutics Inc
ASTE,RUSSELL2000,Astec Industries
AT,RUSSELL2000,Atlantic Power Corp
ATEN,RUSSELL2000,A10 Networks Inc
ATI,SP500,
ATLO,RUSSELL2000,Ames National Corp
ATNI,RUSSELL2000,Atlantic Tele-Network
ATRA,RUSSELL2000,Atara Biotherapeutics Inc
ATRC,RUSSELL2000,Atricure
ATRI,RUSSELL2000,Atrion Corp
ATRO,RUSSELL2000,Astronics Corp
ATRS,RUSSELL2000,Antares Pharma
ATSG,RUSSELL2000,Air Transport Services Group Inc
ATU,RUSSELL2000,Actuant Corp
ATW,RUSSELL2000,Atwood Oceanics
AVA,RUSSELL2000,Avista Corp
AVAV,RUSSELL2000,Aerovironment
AVB,SP500,
AVD,RUSSELL2000,American Vanguard Corp
AVG,RUSSELL2000,Avg Technologies N.V.
AVHI,RUSSELL2000,Av Homes Inc
AVID,RUSSELL2000,Avid Technology
AVP,SP500,
AVX,RUSSELL2000,Avx Corp
AVY,SP500,
AWR,RUSSELL2000,American States Water Company
AXAS,RUSSELL2000,Abraxas Petroleum Corp
AXDX,RUSSELL2000,Accelerate Diagnostics Inc
AXE,RUSSELL2000,Anixter International Inc
AXL,RUSSELL2000,American Axle & Manufacturing
AXLL,RUSSELL2000,Georgia Gulf Corp
AXP,SP500,
AYR,RUSSELL2000,Aircastle Ltd
AZO,SP500,
AZPN,RUSSELL2000,Aspen Technology
AZZ,RUSSELL2000,Azz Inc
B,RUSSELL2000,Barnes Group
BA,SP500,
BABY,RUSSELL2000,Natus Medical Inc
BAC,SP500,
BANC,RUSSELL2000,First Pactrust Bancorp
BANF,RUSSELL2000,Bancfirst Corp
BANR,RUSSELL2000,Banner Corp
BAS,RUSSELL2000,Basic Energy Services
BAX,SP500,
BBBY,SP500,
BBCN,RUSSELL2000,Bbcn Bancorp Inc
BBG,RUSSELL2000,Bill Barrett Corp
BBOX,RUSSELL2000,Black Box Corp
BBRG,RUSSELL2000,Bravo Brio Restaurant Group
BBSI,RUSSELL2000,Barrett Business Services
BBT,SP500,
BBW,RUSSELL2000,Build-A-Bear Workshop
BBX,RUSSELL2000,Bankatlantic Bancorp
BBY,SP500,
BCC,RUSSELL2000,Boise Cascade L.L.C. Common ST
BCEI,RUSSELL2000,Bonanza Creek Energy Inc
BCO,RUSSELL2000,Brink's Company
BCOR,RUSSELL2000,Blucora Inc
BCOV,RUSSELL2000,Brightcove Inc
BCPC,RUSSELL2000,Balchem Corp
BCR,SP500,
BCRX,RUSSELL2000,Biocryst Pharmaceuticals
BDC,RUSSELL2000,Belden Inc
BDE,RUSSELL2000,Black Diamond
BDGE,RUSSELL2000,Bridge Bancorp
BDSI,RUSSELL2000,Biodelivery Sciences International
BDX,SP500,
BEAM,SP500,
BEAT,RUSSELL2000,Cardionet
BEBE,RUSSELL2000,Bebe Stores
BECN,RUSSELL2000,Beacon Roofing Supply
BEL,RUSSELL2000,Belmond Ltd
BELFB,RUSSELL2000,Bel Fuse Inc
BEN,SP500,
BERY,RUSSELL2000,Berry Plastics Group Inc
BF-B,SP500,
BFAM,RUSSELL2000,Bright Horizons Family Solutions Inc
BFIN,RUSSELL2000,Bankfinancial Corp
BFS,RUSSELL2000,Saul Centers
BGC,RUSSELL2000,General Cable Corp
BGCP,RUSSELL2000,Bgc Partners
BGFV,RUSSELL2000,Big 5 Sporting Goods Corp
BGG,RUSSELL2000,Briggs & Stratton Corp
BGS,RUSSELL2000,B&G Foods Holdings
BH,RUSSELL2000,Biglari Holdings Inc
BHB,RUSSELL2000,Bar Harbor Bankshares
BHBK,RUSSELL2000,Blue Hills Bancorp Inc
BHE,RUSSELL2000,Benchmark Electronics
BHI,SP500,
BHLB,RUSSELL2000,Berkshire Hills Bancorp
BID,RUSSELL2000,Sotheby's Holdings
BIG,BOTH,Big Lots
BIIB,SP500,
BIOS,RUSSELL2000,Bioscrip Inc
BJRI,RUSSELL2000,Bj's Restaurants
BK,SP500,
BKE,RUSSELL2000,Buckle Inc
BKH,RUSSELL2000,Black Hills Corp
BKMU,RUSSELL2000,Bank Mutual Corp
BKS,RUSSELL2000,Barnes & Noble
BLBD,RUSSELL2000,Blue Bird Corp
BLCM,RUSSELL2000,Bellicum Pharmaceuticals Inc
BLDR,RUSSELL2000,Builders Firstsource
BLK,SP500,
BLKB,RUSSELL2000,Blackbaud Inc
BLL,SP500,
BLMN,RUSSELL2000,Bloomin' Brands Inc
BLMT,RUSSELL2000,Bsb Bancorp Inc
BLOX,RUSSELL2000,Infoblox Inc
BLT,RUSSELL2000,Blount International
BLX,RUSSELL2000,Banco Latinoamericano De Comercio
BMC,SP500,
BMI,RUSSELL2000,Badger Meter
BMRC,RUSSELL2000,Bank of Marin Bancorp
BMS,SP500,
BMTC,RUSSELL2000,Bryn Mawr Bank Corp
BMY,SP500,
BNCL,RUSSELL2000,Beneficial Mutual Bancorp
